Country,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
Singapore,0.0452,0.126,0.0126,0.0279,0.0944,0.0868,0.0281,0.0216,0.0654,0.1556,0.0209,0.0394,0.1155,0.1041,0.0321,0.0243
Slovakia,0.0567,0.1125,0.0344,0.0636,0.0563,0.0368,0.041,0.0275,0.0867,0.1632,0.0684,0.0992,0.0494,0.0401,0.039,0.0251
Slovenia,0.0637,0.1304,0.0363,0.066,0.0622,0.041,0.0435,0.0264,0.0862,0.1614,0.053,0.0837,0.0488,0.0394,0.0344,0.0236
Somalia,0.0523,0.0797,0.0385,0.0366,0.1346,0.0693,0.0732,0.03,0.0595,0.0791,0.0406,0.0555,0.0803,0.0653,0.0608,0.0445
South Africa,0.0871,0.1294,0.0363,0.0518,0.1019,0.0464,0.051,0.0232,0.0782,0.1212,0.0372,0.053,0.0831,0.0437,0.0381,0.0185
Spain,0.0815,0.1647,0.0302,0.0603,0.0674,0.0428,0.0301,0.0198,0.0825,0.1673,0.0421,0.0766,0.0503,0.039,0.0269,0.0186
Sri Lanka,0.0888,0.1434,0.0347,0.0483,0.1032,0.0608,0.0532,0.0277,0.0715,0.1338,0.0348,0.0552,0.0518,0.0475,0.0254,0.0199
Sudan,0.0719,0.1106,0.0527,0.0601,0.0691,0.0522,0.058,0.0332,0.0707,0.1103,0.0615,0.081,0.0482,0.0486,0.0399,0.032
Suriname,0.0756,0.1198,0.0307,0.0427,0.0881,0.0422,0.0417,0.0235,0.0858,0.1796,0.0306,0.0657,0.0627,0.0574,0.0331,0.021
Sweden,0.0644,0.1383,0.0305,0.0584,0.0757,0.052,0.0419,0.0284,0.0739,0.1459,0.0447,0.0719,0.0593,0.0501,0.0368,0.0278
Switzerland,0.0755,0.1486,0.037,0.0616,0.08,0.048,0.0501,0.0261,0.0732,0.1442,0.0414,0.0655,0.0568,0.0388,0.0332,0.0198
Syria,0.0709,0.1005,0.0691,0.0909,0.0546,0.0382,0.0609,0.0354,0.0627,0.1042,0.0823,0.098,0.0372,0.0279,0.0365,0.0309
Tajikistan,0.041,0.1399,0.0376,0.058,0.1297,0.0546,0.0751,0.0273,0.0341,0.1161,0.0342,0.041,0.0717,0.0683,0.0376,0.0342
Thailand,0.0688,0.1213,0.0255,0.037,0.1108,0.0722,0.048,0.0267,0.0696,0.1263,0.0335,0.0455,0.0841,0.0645,0.0412,0.0249
Trinidad and Tobago,0.0734,0.1069,0.0311,0.0454,0.0838,0.0438,0.0409,0.0218,0.092,0.1493,0.0484,0.0645,0.0796,0.0536,0.0413,0.024
Tunisia,0.0709,0.1253,0.0445,0.0959,0.0432,0.0312,0.0337,0.0246,0.0698,0.1623,0.0651,0.1251,0.0287,0.034,0.0227,0.0227
Turkey,0.0662,0.1197,0.0519,0.0857,0.0628,0.0424,0.0589,0.0366,0.061,0.1253,0.0558,0.0985,0.0385,0.036,0.0354,0.0253
